2012;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
 ;Java 1;myöhässä;Java 2;myöhässä;Java 3;myöhässä;Java 4;myöhässä;Java 5;myöhässä;Java 6;myöhässä;Teoria 1;myöhässä;Teoria 2;myöhässä;Teoria 3;myöhässä;Teoria 4;myöhässä;Teoria 5;myöhässä;Arkkitehtuuri;Koodi;Käyttökokemus;Raportti;Arvosana;Arvosana;;"Portfolio
(15-30 joinain vuosina %)";Painotettu keskiarvo;Arvosana;
290454;3;;4;;3;;5;;5;;3;;2;;3;;3;;3;;3;muu;2.5;2.5;1.5;3;2.38;2;;4.44;3.29;3;
290496;3;;4;;1;;5;;4;;4;;4;;0;1;4;;3;;4;;3.5;4;3;4.5;3.75;2;;4.04;3.41;3;
290506;4;;3;;2;muu;3;;3;;3;;4;;4;;5;;3;;4;;3.5;4;4;4;3.88;1;3;4.44;3.54;4;
290674;3;;2;2;2;;0;;0;;3;;3;;2;;2;;2;;2;;;;;;;1;;4.2;3.2;3;
290768;5;;5;;5;;6;;6;;5;;4;1;4;;5;;5;;4;;5;5;4;5;4.75;4;;3.44;4.66;5;
69904D;3;;2;;2;;4;;5;;4;;;;;;;;;;;;4;3.5;2.5;3;3.25;2;;;3.12;3;
81832W;3;;4;1;2;;3;;3;2;3;2;3;;3;;0;1;5;;1;2;5;4;4;4;4.25;2;;5;3.37;3;
82481C;3;;5;;2;;3;;1;;4;;3;;2;muu;1;1;3;;1;muu;4;3.5;3;4.5;3.75;;1;4.84;3.08;3;
84143N;4;;4;;4;;3;;1;;4;;3;;3;;3;;3;;-1;2;2.5;2;4;3.5;3;1;1;3.04;2.82;3;
84242T;4;;2;;3;;4;;3;;4;;4;;1;;4;;2;;2;;5;5;4.5;5;4.88;0;3;4.04;3.6;4;
84279S;5;;5;;3;;3;;-1;6;4;;4;;4;;4;;2;1;4;;4;4.5;3.5;4.5;;0;3;4.2;3.9;4;
84280T;4;;4;;1;;2;;;;;;;;;;;;;;;;;;;;;5;4;;;;
85628S;5;;5;;5;;5;;6;;5;;5;;5;;5;;5;;5;;5;5;4.5;4;4.63;1;;4.84;4.97;5;
k37196;3;1;5;;3;;2;1;2;1;3;;0;1;2;1;4;;3;;5;;4.5;4;4;5;4.38;;2;3.8;3.27;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
217107;5;;4;;3;;3;;4;;2;;5;;1;;1;;4;;3;;2;2.5;1.5;4;3.54;2;;3.54;3.05;3;
217123;3;;4;;4;;5;;5;;6;;4;;3;;2;;4;;5;;4.5;3.5;3.5;3;4.34;;3;4.34;4.02;4;
217149;4;;4;;2;;3;;4;;1;;5;;3;;2;;5;;4;;2.5;2.5;3.5;4;4.14;3;;4.14;3.32;3;
217165;2;1;4;;1;1;2;;1;;2;;3;;4;;3;;1;1;4;;3.5;3.5;4;3.5;4.8;3;;4.8;3;3;
217178;5;;3;;3;;2;;0;muu;5;;3;;2;;3;;4;;2;;4.5;3.5;2;3;3.74;3;;3.74;3.2;3;
217181;5;;4;;0;2;2;;5;;4;;2;;4;1;1;;4;;3;;;;;;;2;;;;;
217194;5;;4;muu;2;1;3;muu;6;;3;;2;;5;;3;;4;;3;;5;4.5;4;2.5;4.84;4;;4.84;4.1;4;
217217;4;;5;;3;;5;;5;;5;;5;;1;;4;;3;;3;;4;3.5;3.5;3.5;3.54;;4;3.54;3.94;4;
217246;5;;5;;3;;4;;5;;3;;3;;1;;3;;2;;2;;3.5;2.5;3;4;4.34;4;;4.34;3.6;4;
217259;5;;4;;3;;5;;5;;5;;3;;2;;3;;4;;3;;4;4.5;4;3;4.84;5;;4.84;4.25;4;
217275;4;;3;;4;;5;;4;;5;;4;;1;;2;;4;;4;;3;3.5;5;4;4.54;1;2;4.54;3.77;4;
217288;5;;5;;3;;5;;5;;2;;4;;4;;4;;4;;4;;4.5;4.5;4;4;4.84;5;;4.84;4.34;4;
217301;5;;4;;4;;5;;6;;5;;5;;5;;5;;5;;5;;4;4;3;5;4.54;4;;4.54;4.56;5;
38172B;5;;4;;3;;2;;1;;5;;4;;2;;5;;5;;3;;4;1.5;0;3.5;4.54;2;;4.54;3.23;3;
78743J;4;;4;;2;;3;;6;;5;;3;;1;;3;;4;;4;;5;5;4.5;4;4.44;4;;4.44;4.04;4;
79302T;3;;2;;2;;1;2;3;;0;1;3;;1;;2;;2;;2;;3;2.5;2.5;3.5;4.5;2;;4.5;2.68;3;
79630B;;;;;;;;;;;;;5;;4;;4;;5;;5;;;;;;;;;;;;
79959J;3;;3;;4;;3;;3;;5;;4;;2;;2;;3;;3;;3.5;4;4.5;5;4.94;;1;4.94;3.51;4;
82045D;4;;4;;5;;5;;5;;5;;3;;3;;4;;5;;5;;4;5;4;4;4.94;5;;4.94;4.56;5;
82103E;4;;4;;5;;6;;6;;6;;3;;3;;3;;2;;4;;3.5;3.5;3.5;3.5;3.94;3;1;3.94;4.11;4;
82125J;4;;4;;5;;5;;6;;5;;5;;1;;2;;3;;2;;4.5;5;5;4.5;4.54;3;;4.54;4.25;4;
83781M;4;;5;;5;;5;;4;1;4;;3;;2;;3;;3;;3;;5;3.5;5;2.5;4.14;5;;4.14;4.21;4;
83837L;2;;2;;3;;4;;5;;5;;2;;2;;3;;3;;3;;4;4;4;4;4.14;4;;4.14;3.54;4;
83903W;4;;4;;4;;3;;4;;5;;3;;3;;3;;5;;3;;5;5;5;5;4.14;4;;4.14;4.13;4;
83997V;3;muu;5;;4;;5;;6;;6;;3;;3;;3;;3;;4;;3.5;4.5;4;4;4.34;4;;4.34;4.33;4;
84126R;4;;5;;3;;5;;5;;4;;4;;4;;5;;3;;3;1;4;3.5;4.5;4;4.44;3;;4.44;4.1;4;
84200N;2;muu;3;;3;;2;;6;;3;;3;;3;;2;;3;;4;;3;3.5;3.5;3;4.14;3;;4.14;3.32;3;
84225V;3;;4;;3;;5;;4;;3;;2;;2;;5;;3;;3;;3.5;4;3;3;4.44;4;;4.44;3.66;4;
84239P;4;;5;;4;;4;;5;;5;;;;;;;;;;;;3.5;3.5;4;4.5;;3;4;;;;
85083B;4;;4;;3;;5;;5;;5;;5;;3;;2;;3;;3;;4;3;4;3.5;3.9;3;;3.9;3.82;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
68995H;5;;4;;4;;3;;5;;5;;5;;3;;3;;2;;4;;5;5;4.5;5;4.88;5;;4.44;4.38;4;
69462V;5;;4;;4;;1;;4;;2;;;;;;;;;;;;4.25;3;3;3;3.31;4;;;3.42;3;
78495H;4;;5;;4;;4;;6;;6;;4;;3;;5;;5;;5;;5;5;5;4.5;4.88;5;;4.4;4.73;5;
78532F;5;;5;;4;;5;;5;;4;;4;;4;;5;;5;;3;;5;4.5;4;4.5;4.5;5;;4.04;4.5;5;
78562U;1;;0;1;3;;0;2;0;;0;;4;;1;;3;;3;;3;;4;3;3;3;3.25;4;;3.64;;;
78972K;;;;;;;;;;;;;3;;3;;5;;4;;3;;;;;;;;;4.04;3.82;4;
79377S;4;;4;;3;;2;;3;;3;;3;;1;;3;;4;;4;;3;3;4.5;4;3.63;3;;4.24;3.38;3;
79420A;5;;4;;2;;1;;5;;4;;5;;4;;2;;1;1;3;;2;3;4.5;3.25;3.19;4;;3.74;3.45;3;
79464H;5;;4;;3;;2;;5;;5;;2;;4;;5;;4;;3;;3.5;3;4;3.25;3.44;4;;4.44;3.89;4;
79605S;3;;5;;3;;4;;4;;3;;3;;4;;3;;4;;3;;3.5;3.5;3;4;3.5;2;;3.84;3.45;3;
79623R;5;;3;;2;;3;;5;;5;;4;;4;;4;;4;;3;;4;3.5;4;3.75;3.81;4;;4.44;3.93;4;
79832R;5;;5;;4;;4;;4;;5;;4;;2;;3;;3;;3;;4.5;3.75;5;4;4.31;5;;3.84;4.19;4;
80381N;4;;4;;5;;4;;4;;5;;5;;5;;3;;5;;4;;5;5;4.5;4.75;4.81;4;;4.14;4.38;4;
80488E;1;;1;;1;;1;;0;;1;;1;;3;;1;;2;;2;;0;0;0;1;;;;3.44;2.62;3;
81617P;0;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;;;;;;
81645C;4;;4;;;;;;;;;;2;muu;4;;4;;;;;;;;;;;;;;;;
81846R;4;;4;;3;;4;;4;;4;;4;;4;;4;;5;;4;;2.5;3;3;4;3.13;4;;4.14;3.81;4;
81860K;3;;4;;3;;5;;4;;4;;3;;4;;4;;4;;3;;4;4;4;4;4;4;;3.84;3.85;4;
